epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,789.579,1.17944,0.63438,1.14997,0.86923,0.8227,0.87805,0.5329,1.37017,0.67798,1.25795,0.000666268,0.000666268,0.000666268
2,1566.74,1.22601,0.71575,1.1839,0.87278,0.81597,0.87646,0.53458,1.33441,0.69734,1.23824,0.00126695,0.00126695,0.00126695
3,2324.23,1.23251,0.74096,1.19369,0.87883,0.80917,0.88159,0.54782,1.34643,0.6865,1.24069,0.00180164,0.00180164,0.00180164
4,3076.49,1.23354,0.72199,1.18604,0.8791,0.81901,0.88237,0.54658,1.35642,0.66734,1.25816,0.001703,0.001703,0.001703
5,3812.61,1.22237,0.70317,1.17951,0.88211,0.82387,0.89277,0.55604,1.338,0.64006,1.2322,0.001604,0.001604,0.001604
6,4551.25,1.2133,0.68645,1.17164,0.89292,0.80969,0.89159,0.55947,1.32065,0.63628,1.21924,0.001505,0.001505,0.001505
7,5296.88,1.20368,0.66966,1.16539,0.8869,0.82707,0.89795,0.56405,1.31646,0.61678,1.23468,0.001406,0.001406,0.001406
