epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.596,1.4102,1.64801,1.2493,0.84787,0.73939,0.8057,0.4674,1.3985,1.10397,1.25624,0.000664926,0.000664926,0.000664926
2,1203.29,1.3253,0.92157,1.1953,0.86874,0.75201,0.84241,0.5273,1.30725,0.82708,1.20432,0.00106794,0.00106794,0.00106794
3,1770.92,1.28223,0.81661,1.17021,0.87211,0.77466,0.85781,0.54067,1.28071,0.74463,1.17198,0.00120695,0.00120695,0.00120695
4,2351.26,1.2488,0.76644,1.1571,0.87841,0.7842,0.868,0.56221,1.25102,0.67869,1.15665,0.000812,0.000812,0.000812
5,2935.22,1.21388,0.71832,1.13394,0.87863,0.80435,0.87835,0.57044,1.23354,0.65407,1.14044,0.000416,0.000416,0.000416
