epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.617,1.25806,0.77759,1.1768,0.85512,0.73531,0.81978,0.5206,1.31259,0.80888,1.21226,0.000665572,0.000665572,0.000665572
2,1214.01,1.31265,0.85852,1.22806,0.8438,0.69405,0.77734,0.48528,1.38575,0.93526,1.2727,0.00120035,0.00120035,0.00120035
3,1775.36,1.31311,0.86327,1.23284,0.87193,0.72318,0.81318,0.51175,1.32173,0.83694,1.23396,0.00160312,0.00160312,0.00160312
4,2335.96,1.28742,0.82227,1.21581,0.87391,0.75425,0.83365,0.52331,1.30373,0.79887,1.20663,0.001406,0.001406,0.001406
5,2894.59,1.26111,0.77154,1.19216,0.87915,0.76755,0.84739,0.54787,1.26818,0.73192,1.19827,0.001208,0.001208,0.001208
6,3445.21,1.23631,0.73447,1.17753,0.87559,0.78182,0.85722,0.5504,1.25309,0.7003,1.17752,0.00101,0.00101,0.00101
7,3996.75,1.21398,0.69868,1.16665,0.89691,0.78619,0.86935,0.57027,1.22938,0.6576,1.16459,0.000812,0.000812,0.000812
8,4551.19,1.19529,0.66725,1.15118,0.88695,0.80328,0.87826,0.57748,1.21127,0.63989,1.15188,0.000614,0.000614,0.000614
9,5105.81,1.1781,0.6395,1.14209,0.89196,0.8048,0.88148,0.57982,1.21226,0.62215,1.14935,0.000416,0.000416,0.000416
10,5660.22,1.15825,0.6117,1.12754,0.89137,0.81134,0.88614,0.58622,1.19355,0.59815,1.13312,0.000218,0.000218,0.000218
